"state","city","make","ttl"
AE,"",BMW,1
AK,Eagle River,TESLA,1
AL,Madison,TESLA,1
AL,Montgomery,TESLA,1
AL,Pike Road,TOYOTA,1
AL,Prattville,JEEP,1
AL,Smiths Station,TESLA,1
AL,Talladega,JEEP,1
AL,Prattville,TOYOTA,1
AL,Prattville,VOLKSWAGEN,1
AR,Sherwood,RIVIAN,1
AZ,Apache Junction,CHRYSLER,1
AZ,Maricopa,TESLA,1
AZ,Peoria,TESLA,1
AZ,Phoenix,NISSAN,1
AZ,Scottsdale,MERCEDES-BENZ,1
AZ,Tempe,TESLA,1
AZ,Tucson,TESLA,1
AZ,Phoenix,TESLA,1
AZ,Scottsdale,TESLA,1
AZ,Tucson,VOLVO,1
AZ,Scottsdale,TESLA,1
BC,"",TESLA,1
BC,"",VOLVO,1
CA,Alameda,JEEP,1
CA,Aliso Viejo,HYUNDAI,1
CA,Arcadia,TESLA,1
CA,Arroyo Grande,TOYOTA,1
CA,Bay Point,CHEVROLET,1
CA,Beale Afb,TESLA,1
CA,Belvedere Tiburon,BMW,1
CA,Benicia,HYUNDAI,1
CA,Berkeley,TESLA,2
CA,Buena Park,FORD,1
CA,Camarillo,CHRYSLER,1
CA,Carlsbad,CHEVROLET,1
CA,Cathedral City,VOLKSWAGEN,1
CA,Chula Vista,TESLA,5
CA,Coronado,TESLA,1
CA,Cupertino,JEEP,1
CA,Danville,TESLA,1
CA,Dublin,TESLA,2
CA,Edwards,FORD,1
CA,El Cajon,TESLA,1
CA,El Monte,TESLA,1
CA,Encinitas,TESLA,1
CA,Folsom,RIVIAN,1
CA,Fort Irwin,TESLA,3
CA,Fremont,BMW,1
CA,Fresno,JEEP,1
CA,Gardena,FORD,1
CA,Hanford,TESLA,3
CA,Helendale,BMW,1
CA,Hidden Hills,VOLVO,1
CA,Huntington Beach,TESLA,1
CA,Irvine,TESLA,1
CA,La Mesa,CHRYSLER,1
CA,Ladera Ranch,TESLA,1
CA,Lafayette,TESLA,1
CA,Laguna Niguel,TESLA,1
CA,Lake Forest,TESLA,1
CA,Lakeside,CHRYSLER,1
CA,Lancaster,TESLA,1
CA,Lemoore,CHRYSLER,1
CA,Los Angeles,TESLA,2
CA,Marina,HYUNDAI,1
CA,Martinez,BMW,1
CA,Menifee,TESLA,1
CA,Midway City,GENESIS,1
CA,Mill Valley,FORD,1
CA,Monterey,TOYOTA,1
CA,Moorpark,VOLKSWAGEN,1
CA,Morgan Hill,TOYOTA,1
CA,Mountain View,TESLA,2
CA,Murrieta,TESLA,1
CA,National City,FORD,1
CA,Oceanside,CHRYSLER,1
CA,Pacific Grove,TOYOTA,1
CA,Pacific Palisades,TESLA,1
CA,Pacifica,TESLA,1
CA,Palo Alto,FORD,1
CA,Port Hueneme,CHRYSLER,2
CA,Rancho Cucamonga,TESLA,1
CA,Redwood City,TESLA,1
CA,Roseville,CHEVROLET,1
CA,Sacramento,TESLA,1
CA,San Diego,TESLA,3
CA,San Francisco,MITSUBISHI,1
CA,San Jose,TESLA,2
CA,San Rafael,KIA,1
CA,Santa Clara,MERCEDES-BENZ,1
CA,Santa Rosa,HONDA,1
CA,Seaside,JEEP,1
CA,Sunnyvale,TESLA,2
CA,Torrance,TESLA,1
CA,Trabuco Canyon,TESLA,1
CA,Travis Afb,TESLA,1
CA,Vacaville,TESLA,1
CA,Ventura,TESLA,1
CA,Walnut Creek,KIA,1
CA,Wildomar,TESLA,1
CA,Alameda,TESLA,1
CA,Chula Vista,TESLA,1
CA,Cupertino,TESLA,1
CA,Los Angeles,LAND ROVER,1
CA,Mill Valley,FORD,1
CA,Mountain View,TESLA,1
CA,Oceanside,TESLA,1
CA,Palo Alto,TESLA,1
CA,Riverside,FORD,1
CA,Roseville,TESLA,1
CA,San Diego,TESLA,4
CA,San Francisco,TESLA,1
CA,San Jose,BMW,1
CA,Seaside,RIVIAN,1
CA,Alameda,TESLA,1
CA,Los Angeles,TESLA,1
CA,Oceanside,TOYOTA,1
CA,Riverside,TESLA,1
CA,Roseville,TESLA,1
CA,San Diego,FORD,2
CA,San Jose,FORD,1
CA,Seaside,TESLA,1
CA,Los Angeles,TESLA,1
CA,San Diego,TESLA,2
CA,San Jose,NISSAN,1
CA,Seaside,TOYOTA,1
CA,San Diego,BMW,1
CA,San Diego,CHRYSLER,1
CA,San Diego,HYUNDAI,1
CA,San Diego,POLESTAR,1
CA,San Diego,TOYOTA,1
CA,San Diego,VOLKSWAGEN,1
CO,Aurora,TESLA,1
CO,Colorado Springs,TESLA,3
CO,Denver,FORD,1
CO,Englewood,BMW,1
CO,Monument,TESLA,1
CO,Parker,CHRYSLER,1
CO,Timnath,TESLA,1
CO,Windsor,TESLA,1
CO,Colorado Springs,VOLVO,2
CO,Englewood,BMW,1
CO,Colorado Springs,AUDI,1
CO,Colorado Springs,CHRYSLER,1
CO,Colorado Springs,FORD,1
CO,Colorado Springs,NISSAN,1
CO,Colorado Springs,RIVIAN,1
CO,Colorado Springs,SUBARU,1
CO,Colorado Springs,TESLA,1
CO,Colorado Springs,TESLA,1
CT,Gales Ferry,CHRYSLER,1
CT,Mystic,TESLA,1
CT,Newington,TESLA,1
CT,Norwich,HYUNDAI,1
CT,Old Lyme,CHEVROLET,1
CT,Waterford,TOYOTA,1
CT,Gales Ferry,TESLA,1
CT,Madison,CHRYSLER,1
CT,Norwich,VOLVO,1
CT,Madison,FORD,1
CT,Preston,CHRYSLER,1
DC,Washington,BMW,1
DC,Washington,FORD,1
DC,Washington,FORD,1
DC,Washington,NISSAN,1
DC,Washington,RIVIAN,1
DC,Washington,TESLA,1
DE,Dover,TOYOTA,1
FL,Boca Raton,TESLA,1
FL,Coral Gables,TESLA,1
FL,Hialeah,TESLA,1
FL,Jacksonville,JEEP,1
FL,Kissimmee,TESLA,1
FL,Maitland,TESLA,1
FL,Melbourne,RIVIAN,1
FL,Middleburg,TESLA,1
FL,Niceville,TOYOTA,1
FL,Orlando,JEEP,1
FL,Pensacola,KIA,1
FL,Sarasota,TESLA,1
FL,Tampa,CHEVROLET,1
FL,Winter Park,TESLA,1
FL,Jacksonville,MERCEDES-BENZ,1
FL,Orlando,TESLA,1
FL,Pensacola,TESLA,1
FL,Tampa,HONDA,1
FL,Jacksonville,RIVIAN,1
FL,Orlando,TESLA,1
FL,Tampa,TESLA,1
FL,Jacksonville,TESLA,1
FL,Tampa,TESLA,1
GA,Atlanta,RIVIAN,1
GA,Augusta,CHEVROLET,1
GA,Columbus,TOYOTA,1
GA,Conyers,VOLKSWAGEN,1
GA,Cumming,TESLA,1
GA,Decatur,NISSAN,1
GA,Fort Benning,TESLA,1
GA,Hinesville,FORD,1
GA,Marietta,BMW,1
GA,Saint Marys,HYUNDAI,1
GA,Suwanee,LEXUS,1
GA,Warner Robins,FORD,1
GA,Columbus,VOLVO,1
GA,Decatur,TESLA,1
GA,Evans,FORD,1
HI,Ewa Beach,JEEP,1
HI,Honolulu,JEEP,1
HI,Kekaha,JEEP,1
HI,Kihei,KIA,1
HI,Honolulu,TESLA,1
HI,Kihei,TESLA,1
ID,Boise,TESLA,1
ID,Pocatello,TESLA,1
ID,Post Falls,TESLA,2
ID,Worley,RIVIAN,1
IL,Buffalo Grove,TESLA,1
IL,Chicago,CHRYSLER,1
IL,Great Lakes,TESLA,1
IL,Highland Park,TESLA,1
IL,Libertyville,VOLKSWAGEN,2
IL,Mundelein,TESLA,1
IL,Saint Jacob,TESLA,1
IL,Skokie,TESLA,1
IL,Streamwood,JEEP,1
IL,Libertyville,AUDI,1
IL,Libertyville,AUDI,1
IN,Fort Wayne,CHRYSLER,1
IN,Westfield,KIA,1
IN,Fort Wayne,TESLA,1
KS,Derby,FORD,1
KS,Fort Leavenworth,TESLA,2
KS,Fort Riley,FORD,1
KS,Junction City,TESLA,1
KS,Fort Leavenworth,CHRYSLER,1
KS,Fort Leavenworth,TESLA,1
KS,Fort Leavenworth,VOLVO,1
KY,Fort Knox,VOLKSWAGEN,1
KY,Goshen,CHRYSLER,1
KY,Rineyville,RIVIAN,1
LA,Shreveport,TESLA,1
MA,Boston,CHRYSLER,1
MA,Cambridge,GENESIS,1
MA,Hanscom Afb,TESLA,1
MA,North Dartmouth,TESLA,1
MA,Winchester,HYUNDAI,1
MA,Boston,TESLA,1
MA,Hanscom Afb,TESLA,1
MD,Aberdeen Proving Ground,TESLA,1
MD,Andrews Air Force Base,TESLA,1
MD,Annapolis,BMW,1
MD,Baltimore,TESLA,1
MD,Bethesda,AUDI,1
MD,California,TESLA,1
MD,Crofton,JEEP,1
MD,Edgewater,TESLA,1
MD,Ellicott City,VOLVO,1
MD,Fort Washington,NISSAN,1
MD,Frederick,TESLA,1
MD,Gaithersburg,CADILLAC,1
MD,Gambrills,HONDA,1
MD,Germantown,TESLA,1
MD,Gunpowder,TESLA,1
MD,Hanover,TESLA,1
MD,Hughesville,FISKER,1
MD,Leonardtown,TESLA,1
MD,Lexington Park,TESLA,1
MD,Middletown,LEXUS,1
MD,Odenton,BMW,1
MD,Pasadena,CHEVROLET,1
MD,Potomac,CHRYSLER,1
MD,Upper Marlboro,KIA,1
MD,Westminster,FORD,1
MD,Woodbine,TESLA,1
MD,Annapolis,FORD,1
MD,Bethesda,TESLA,1
MD,Lexington Park,TESLA,1
MD,Middletown,TOYOTA,1
MD,Upper Marlboro,TESLA,1
MD,Annapolis,GMC,1
MD,Bethesda,TESLA,1
MD,Upper Marlboro,TESLA,1
MD,Upper Marlboro,TOYOTA,1
MD,Dayton,CHEVROLET,1
ME,Brewer,TOYOTA,1
MI,Ann Arbor,TOYOTA,1
MI,Saginaw,JEEP,1
MI,Taylor,FORD,1
MI,Warren,GMC,3
MI,Warren,CHEVROLET,2
MN,Minneapolis,TESLA,1
MN,Saint Paul,VOLVO,1
MO,Ballwin,TOYOTA,1
MO,O Fallon,KIA,1
MO,Ozark,JEEP,1
MO,Saint Louis,TESLA,1
MO,Saint Robert,TESLA,1
MO,Summersville,TESLA,1
MO,Warrensburg,TESLA,1
MO,Waynesville,TESLA,1
MS,Ocean Springs,TESLA,1
NC,Bunnlevel,TESLA,1
NC,Cameron,JEEP,1
NC,Carthage,TESLA,1
NC,Fayetteville,TESLA,1
NC,Fort Bragg,TOYOTA,2
NC,Holly Springs,TESLA,1
NC,Morrisville,TESLA,1
NC,Moyock,TESLA,1
NC,Raeford,TESLA,1
NC,Raleigh,FORD,1
NC,Spring Lake,TESLA,1
NC,Vass,TESLA,1
NC,Fayetteville,TESLA,1
NC,Fort Bragg,TESLA,1
NE,Omaha,AUDI,1
NE,Omaha,CHRYSLER,1
NE,Omaha,FORD,1
NH,Epping,TESLA,2
NH,Portsmouth,BMW,1
NH,Portsmouth,TESLA,1
NJ,Bloomfield,HYUNDAI,1
NJ,Camden,SUBARU,1
NJ,Egg Harbor Township,TESLA,1
NJ,Harrison,TESLA,1
NJ,Joint Base Mdl,TOYOTA,1
NJ,Montclair,VOLVO,1
NJ,Princeton,CHEVROLET,1
NJ,Stanhope,NISSAN,1
NJ,Tenafly,RIVIAN,1
NM,Holloman Air Force Base,JEEP,1
NM,Las Cruces,VOLKSWAGEN,1
NS,"",TESLA,1
NV,Fallon,CHRYSLER,1
NV,Henderson,TESLA,2
NV,Las Vegas,TESLA,2
NV,North Las Vegas,TESLA,1
NV,Reno,RIVIAN,1
NV,Sparks,TESLA,1
NV,Las Vegas,FORD,1
NV,North Las Vegas,TESLA,1
NV,Sparks,TESLA,1
NV,Las Vegas,MERCEDES-BENZ,1
NV,Las Vegas,VOLVO,1
NY,Brooklyn,TESLA,1
NY,Evans Mills,TESLA,1
NY,Greenfield Center,TESLA,1
NY,New York,KIA,1
NY,Saratoga Springs,TOYOTA,1
NY,Watertown,TESLA,1
NY,West Point,TESLA,1
NY,Brooklyn,TESLA,1
NY,New York,TESLA,1
NY,New York,TESLA,1
OH,Beavercreek,TESLA,1
OH,Cincinnati,NISSAN,1
OH,Beavercreek,TESLA,1
OH,Cincinnati,TESLA,1
OH,Dayton,BMW,1
OK,Enid,BMW,1
OR,Beaverton,TESLA,1
OR,Damascus,TESLA,1
OR,Gladstone,BMW,1
OR,Portland,BMW,1
OR,Salem,TESLA,1
OR,The Dalles,TOYOTA,1
OR,Portland,TESLA,2
OR,Salem,TOYOTA,1
OR,Springfield,TOYOTA,1
OR,Portland,VOLVO,1
PA,Mechanicsburg,TESLA,1
PA,Pittsburgh,MERCEDES-BENZ,1
PA,Pittsburgh,TESLA,1
RI,Greene,RIVIAN,1
RI,Providence,NISSAN,1
RI,Middletown,FORD,1
RI,Middletown,MITSUBISHI,1
RI,Middletown,RIVIAN,1
SC,Bluffton,TESLA,1
SC,Charleston Afb,CHRYSLER,1
SC,Hanahan,TESLA,1
SC,Charleston Afb,FORD,1
TN,Brentwood,AUDI,1
TN,Memphis,JEEP,1
TN,Nashville,BMW,1
TX,Alvord,TESLA,1
TX,Austin,CHEVROLET,1
TX,Baytown,FORD,1
TX,Bedford,TESLA,1
TX,Carrollton,TESLA,1
TX,Conroe,CHEVROLET,1
TX,Converse,TESLA,1
TX,Corpus Christi,CHEVROLET,1
TX,Dallas,RIVIAN,1
TX,El Paso,JEEP,1
TX,Frisco,TESLA,1
TX,Houston,TESLA,1
TX,Hutto,TOYOTA,1
TX,Jbsa Ft Sam Houston,CHRYSLER,2
TX,Jbsa Lackland,CHEVROLET,1
TX,Killeen,TESLA,1
TX,League City,TESLA,1
TX,Leander,TESLA,1
TX,Melissa,TESLA,1
TX,Plano,LEXUS,1
TX,San Antonio,HYUNDAI,1
TX,Southlake,TESLA,1
TX,Austin,HYUNDAI,1
TX,Corpus Christi,TESLA,1
TX,El Paso,KIA,1
TX,Jbsa Lackland,TESLA,1
TX,San Antonio,TESLA,1
TX,Austin,NISSAN,1
TX,El Paso,NISSAN,1
TX,San Antonio,TOYOTA,1
TX,Austin,TESLA,2
TX,El Paso,TESLA,1
UT,Midway,BMW,1
UT,Tooele,TESLA,1
VA,Alexandria,TESLA,3
VA,Ashburn,SUBARU,1
VA,Burke,TESLA,1
VA,Chantilly,CHRYSLER,1
VA,Charlottesville,JEEP,1
VA,Chesapeake,CHEVROLET,1
VA,Dumfries,CHEVROLET,1
VA,Falls Church,TESLA,2
VA,Fort Belvoir,CHEVROLET,1
VA,Fort Gregg Adams,TESLA,1
VA,Fort Lee,HYUNDAI,1
VA,Fredericksburg,TESLA,1
VA,Henrico,TESLA,1
VA,Manassas,CHEVROLET,1
VA,Mc Lean,JEEP,1
VA,Norfolk,CHEVROLET,1
VA,North Chesterfield,VOLVO,1
VA,Reston,AUDI,1
VA,Richmond,KIA,1
VA,Springfield,TESLA,2
VA,Stafford,FORD,1
VA,Suffolk,BMW,1
VA,Toano,TESLA,1
VA,Vienna,JEEP,1
VA,Virginia Beach,TESLA,2
VA,Williamsburg,CHEVROLET,1
VA,Yorktown,TESLA,1
VA,Alexandria,TESLA,2
VA,Burke,VOLKSWAGEN,1
VA,Carrollton,CHRYSLER,1
VA,Charlottesville,TESLA,1
VA,Chesapeake,TESLA,1
VA,Fort Belvoir,TESLA,1
VA,Henrico,TOYOTA,1
VA,Manassas,HYUNDAI,1
VA,Stafford,TESLA,1
VA,Suffolk,TESLA,1
VA,Vienna,TOYOTA,1
VA,Virginia Beach,TESLA,2
VA,Yorktown,VOLKSWAGEN,1
VA,Alexandria,TESLA,1
VA,Charlottesville,TESLA,1
VA,Manassas,NISSAN,1
VA,Portsmouth,TOYOTA,1
VA,Springfield,CHEVROLET,1
VA,Virginia Beach,BMW,1
VA,Alexandria,TESLA,1
VA,Charlottesville,TOYOTA,1
VA,Manassas,TESLA,1
VA,Springfield,FORD,1
VA,Virginia Beach,FORD,1
VA,Alexandria,VOLVO,1
VA,Springfield,HYUNDAI,1
VA,Virginia Beach,KIA,1
VA,Springfield,HYUNDAI,1
VA,Virginia Beach,RIVIAN,1
VA,Springfield,JEEP,1
VA,Springfield,NISSAN,1
VA,Springfield,TOYOTA,1
WA,Aberdeen,TESLA,25
WA,Acme,TESLA,2
WA,Addy,TESLA,2
WA,Airway Heights,TESLA,8
WA,Albion,MINI,1
WA,Alderdale,RIVIAN,1
WA,Algona,TESLA,11
WA,Allyn,TESLA,23
WA,Almira,CHEVROLET,1
WA,Amanda Park,FORD,1
WA,Amboy,TESLA,7
WA,Anacortes,TESLA,148
WA,Anderson Island,TESLA,11
WA,Appleton,TOYOTA,1
WA,Ariel,TESLA,4
WA,Arlington,TESLA,135
WA,Artondale,TESLA,2
WA,Ashford,TESLA,5
WA,Asotin,CHEVROLET,2
WA,Auburn,TESLA,537
WA,Bainbridge Island,TESLA,234
WA,Baring,TESLA,3
WA,Battle Ground,TESLA,162
WA,Bay Center,CHEVROLET,1
WA,Beaux Arts,TESLA,11
WA,Beaver,FORD,1
WA,Belfair,TESLA,34
WA,Bellevue,TESLA,587
WA,Bellingham,NISSAN,519
WA,Benton City,TESLA,22
WA,Bickleton,KIA,2
WA,Bingen,CHEVROLET,3
WA,Black Diamond,TESLA,156
WA,Blaine,TESLA,93
WA,Bonney Lake,TESLA,367
WA,Bothell,TESLA,2704
WA,Bow,TESLA,16
WA,Bremerton,TESLA,242
WA,Brewster,TESLA,8
WA,Bridgeport,TESLA,2
WA,Bridgeport Bar,TESLA,2
WA,Brier,TESLA,66
WA,Brinnon,TESLA,12
WA,Brush Prairie,TESLA,72
WA,Buckley,TESLA,65
WA,Bucoda,HONDA,1
WA,Buena,TESLA,1
WA,Burbank,TESLA,8
WA,Burien,TESLA,260
WA,Burlington,TESLA,36
WA,Bz Corner,CHEVROLET,3
WA,Camano Island,TESLA,126
WA,Camas,TESLA,474
WA,Carbonado,TESLA,3
WA,Carlton,CHEVROLET,1
WA,Carnation,TESLA,70
WA,Carson,CHEVROLET,4
WA,Cashmere,TESLA,27
WA,Castle Rock,TESLA,20
WA,Cathlamet,CHEVROLET,6
WA,Centerville,CHEVROLET,1
WA,Centralia,CHRYSLER,101
WA,Chattaroy,TESLA,13
WA,Chehalis,TESLA,49
WA,Chelan,TESLA,53
WA,Chelan Falls,TESLA,2
WA,Cheney,TESLA,52
WA,Chewelah,TESLA,6
WA,Chimacum,NISSAN,13
WA,Chinook,SUBARU,1
WA,Cinebar,CHEVROLET,1
WA,Clallam Bay,KIA,1
WA,Clarkston,TESLA,9
WA,Clayton,MITSUBISHI,2
WA,Cle Elum,TESLA,65
WA,Clearlake,CHEVROLET,1
WA,Clinton,TESLA,39
WA,Clyde Hill,TESLA,58
WA,Colbert,TESLA,39
WA,Colfax,TESLA,5
WA,College Place,TESLA,19
WA,Colton,BMW,1
WA,Colville,TESLA,15
WA,Conconully,CHEVROLET,1
WA,Concrete,TESLA,11
WA,Connell,TESLA,5
WA,Copalis Beach,TESLA,4
WA,Copalis Crossing,NISSAN,1
WA,Cosmopolis,TESLA,6
WA,Cougar,PORSCHE,1
WA,Coulee City,TESLA,6
WA,Coulee Dam,TESLA,2
WA,Coupeville,TESLA,41
WA,Covington,TESLA,268
WA,Cowiche,TESLA,2
WA,Creston,TESLA,1
WA,Curlew,TESLA,3
WA,Curtis,TESLA,3
WA,Cusick,CHEVROLET,2
WA,Custer,TESLA,6
WA,Dallesport,TESLA,5
WA,Darrington,FORD,6
WA,Davenport,TESLA,5
WA,Dayton,CHEVROLET,3
WA,Deer Harbor,CHEVROLET,1
WA,Deer Meadows,TESLA,2
WA,Deer Park,TESLA,19
WA,Deming,NISSAN,7
WA,Des Moines,TESLA,168
WA,Dixie,TESLA,1
WA,Dryden,TESLA,1
WA,Dupont,TESLA,62
WA,Duvall,TESLA,187
WA,East Wenatchee,TESLA,83
WA,Easton,TESLA,8
WA,Eastsound,NISSAN,78
WA,Eatonville,TESLA,35
WA,Edgewood,TESLA,90
WA,Edmonds,TESLA,338
WA,Edwall,CHEVROLET,1
WA,Elbe,TESLA,3
WA,Electric City,TESLA,3
WA,Elk,CHEVROLET,4
WA,Ellensburg,TESLA,71
WA,Elma,TESLA,13
WA,Elmer City,CHEVROLET,1
WA,Eltopia,CHEVROLET,2
WA,Endicott,FORD,2
WA,Entiat,TESLA,7
WA,Enumclaw,TESLA,76
WA,Ephrata,TESLA,19
WA,Ethel,TESLA,3
WA,Evans,CHEVROLET,3
WA,Everett,TESLA,889
WA,Everson,TESLA,21
WA,Fairchild Air Force Base,TESLA,8
WA,Fairfield,CHEVROLET,1
WA,Fall City,TESLA,54
WA,Farmington,JEEP,1
WA,Federal Way,TESLA,397
WA,Ferndale,TESLA,68
WA,Fife,TESLA,53
WA,Fircrest,TESLA,38
WA,Ford,CHEVROLET,2
WA,Forks,TESLA,5
WA,Fox Island,TESLA,46
WA,Freeland,TESLA,38
WA,Friday Harbor,NISSAN,86
WA,Galvin,TESLA,1
WA,Gardiner,HYUNDAI,1
WA,Garfield,FORD,1
WA,Gifford,MITSUBISHI,1
WA,Gig Harbor,TESLA,369
WA,Glacier,TESLA,4
WA,Glenoma,CHRYSLER,1
WA,Glenwood,FORD,1
WA,Gold Bar,TESLA,16
WA,Goldendale,FORD,8
WA,Graham,TESLA,91
WA,Grand Coulee,BMW,2
WA,Grandview,TESLA,19
WA,Granger,CHEVROLET,1
WA,Granite Falls,TESLA,39
WA,Grapeview,TESLA,16
WA,Grayland,TOYOTA,2
WA,Grays River,CHEVROLET,1
WA,Greenacres,TESLA,57
WA,Greenbank,NISSAN,9
WA,Hamilton,CHEVROLET,1
WA,Hansville,TESLA,18
WA,Harrah,CHEVROLET,1
WA,Harrington,CHEVROLET,1
WA,Hartline,JEEP,1
WA,Hatton,TESLA,1
WA,Holden Village,TESLA,1
WA,Hoodsport,TESLA,8
WA,Hoquiam,TESLA,7
WA,Hunters,TESLA,1
WA,Hunts Point,TESLA,13
WA,Husum,TESLA,6
WA,Ilwaco,TOYOTA,3
WA,Incorporated,BMW,1
WA,Index,CHEVROLET,2
WA,Indianola,NISSAN,11
WA,Ione,MAZDA,1
WA,Issaquah,TESLA,1034
WA,Joint Base Lewis Mcchord,TESLA,48
WA,Kalama,TESLA,27
WA,Kapowsin,TESLA,3
WA,Kelso,TESLA,38
WA,Kenmore,TESLA,234
WA,Kennewick,TESLA,252
WA,Kent,TESLA,1202
WA,Kettle Falls,TESLA,9
WA,Keyport,NISSAN,3
WA,Kingston,TESLA,48
WA,Kirkland,TESLA,1207
WA,Kittitas,FORD,1
WA,Klickitat,MINI,1
WA,La Center,TESLA,41
WA,La Conner,TESLA,17
WA,Lacey,TESLA,291
WA,Lacrosse,TESLA,1
WA,Lake Forest Park,TESLA,109
WA,Lake Stevens,TESLA,350
WA,Lake Tapps,TESLA,111
WA,Lakebay,TESLA,19
WA,Lakeview,JEEP,1
WA,Lakewood,TESLA,159
WA,Lamont,TOYOTA,1
WA,Langley,TESLA,33
WA,Latah,TESLA,2
WA,Leavenworth,TESLA,75
WA,Lebam,FORD,1
